Edad,Genero,Frecuencia_compra,Compra_por_recomendacion,Frecuencia_navegacion,Metodo_busqueda,Exploracion,Imp_reseñas,Carrito,Frecuencia_carrito,Factores_abandono,Frecuencia_guardar,Reseña,Confianza_reseñas,Utilidad_reseñas,Frecuencia_recomendaciones,Utilidad_recomendaciones,Precision_recomendaciones,Satisfaccion,Valor,Mejoras,Belleza_y_cuidado_personal,Ropa_y_moda,Alimentación_y_productos_gourmet,Hogar_y_cocina,Otros
23,0,0,1,1,1,1,1,1,5,1,4,1,3,1,1,1,1,1,0,11,1,0,0,0,0
23,0,3,1,0,1,1,1,1,3,2,3,0,0,1,1,2,3,2,4,11,0,1,0,0,0
24,2,0,0,0,1,1,2,1,5,1,3,0,3,0,3,0,3,3,0,9,0,1,1,0,0
24,0,3,2,0,1,0,5,2,5,1,4,1,0,1,2,2,3,4,0,9,1,1,0,0,1
22,0,1,1,0,0,1,1,1,5,2,3,0,0,1,3,1,2,2,0,9,1,1,0,0,0
21,0,1,0,3,2,1,1,1,4,0,1,0,0,1,4,0,5,2,4,9,0,1,0,0,0
22,0,1,0,3,0,1,1,1,3,2,3,0,0,1,2,2,3,3,4,13,0,1,0,0,0
21,0,0,0,3,1,1,1,1,3,1,3,0,0,2,2,2,1,3,0,13,1,1,0,0,0
20,0,1,2,0,1,0,1,1,5,0,2,0,1,1,1,1,2,2,4,11,1,1,0,0,0
23,0,1,0,3,1,1,1,1,4,1,3,0,0,1,2,1,3,4,4,9,1,1,0,0,0
22,0,1,0,0,2,1,1,2,5,1,4,0,0,1,2,2,3,2,0,13,0,1,0,0,0
25,0,2,0,1,1,1,1,1,5,2,4,1,0,1,2,1,3,1,4,9,1,1,0,1,0
23,0,1,0,0,1,0,1,2,5,0,3,0,0,2,1,0,3,2,0,9,1,1,0,0,0
24,0,3,0,0,1,1,1,1,3,0,2,1,1,1,1,1,2,2,4,9,0,1,0,1,0
21,0,1,1,1,1,1,1,1,3,0,0,1,0,1,4,2,3,1,3,11,1,0,0,0,0
23,0,1,0,3,0,0,1,2,5,2,4,0,0,1,2,2,3,3,3,13,0,0,0,0,1
16,1,0,2,0,1,1,1,1,5,1,1,0,0,1,2,2,3,2,4,13,0,1,0,0,1
21,0,1,0,0,1,1,1,2,5,3,1,0,0,1,1,1,2,1,4,13,0,1,0,0,0
23,0,0,2,0,1,1,1,1,5,2,3,0,1,1,1,2,3,2,4,2,1,0,0,1,0
25,0,1,0,1,1,1,1,1,5,1,3,0,0,1,3,2,3,2,4,9,1,0,0,0,0
64,1,4,0,0,1,1,3,0,2,0,1,0,3,1,1,1,1,2,0,11,0,0,1,0,0
23,0,3,0,0,3,0,1,1,5,1,4,0,0,1,2,2,3,2,3,2,0,1,0,0,0
21,1,1,0,1,3,1,1,1,1,3,1,0,2,2,2,2,3,3,1,0,0,0,0,0,1
16,0,1,0,0,2,1,2,1,5,0,2,0,1,1,2,1,2,2,4,13,0,1,0,0,0
23,0,0,0,0,1,1,1,2,4,3,3,1,0,1,2,2,1,1,0,2,1,1,0,0,1
24,0,2,1,1,2,1,1,2,4,0,4,1,1,0,1,0,2,3,3,9,0,0,1,0,0
22,0,1,0,1,1,1,1,1,5,1,2,0,0,1,2,2,2,2,4,13,1,1,0,0,0
23,0,1,0,0,2,1,4,1,5,1,3,0,3,2,2,1,3,5,4,11,1,0,0,0,0
23,0,0,2,1,2,1,1,1,3,3,2,0,0,1,2,2,2,2,3,13,1,1,0,0,1
24,0,1,1,0,1,1,4,1,5,1,3,0,3,1,3,1,5,4,0,11,0,1,0,0,0
25,0,0,0,1,1,1,5,1,3,2,1,1,0,1,1,2,3,4,4,9,0,1,1,0,1
23,0,1,0,1,1,0,5,2,3,0,0,0,0,1,3,0,3,4,0,2,1,1,1,1,0
23,0,1,0,3,3,0,3,0,2,3,1,0,3,2,4,0,3,3,4,9,0,0,0,0,1
